File Name,RMSE Bob 1 (m),RMSE Bob 2 (m),Combined RMSE (m),Angular RMSE Bob 1 (rad),Time before divergence,RMSE Bob 2 pre-divergence,RMSE Bob 2 post-divergence,Interpolation Error Bob 1,Interpolation Error Bob 2,Computation Time (s)
DOP853_172.00s-aligned.csv,0.049677,0.120133,0.091923,0.558887,0.334600,0.043683,0.120235,0.000001,0.000001,0.810700
GL8_172.00s-aligned.csv,0.054655,0.126558,0.097478,0.615093,0.334600,0.043683,0.126666,0.000001,0.000001,233.472100
bs_adaptive_free_172.00s-aligned.csv,0.063225,0.131979,0.103479,0.752492,0.334600,0.043683,0.132093,0.000001,0.000001,8.562000
DOP853_204.00s-aligned.csv,0.099934,0.178931,0.144919,1.163685,0.267200,0.055021,0.179037,0.000001,0.000001,1.158900
GL8_204.00s-aligned.csv,0.098543,0.158929,0.132229,1.225800,0.267200,0.055021,0.159020,0.000001,0.000001,286.545800
bs_adaptive_free_204.00s-aligned.csv,0.077882,0.142830,0.115035,0.953495,0.267200,0.055021,0.142910,0.000001,0.000001,10.200100
DOP853_288.00s-aligned.csv,0.137234,0.199268,0.171086,1.807622,0.145400,0.043380,0.199316,0.000001,0.000001,2.172800
GL8_288.00s-aligned.csv,0.112459,0.169496,0.143833,1.485595,0.145400,0.043380,0.169536,0.000001,0.000001,396.274500
bs_adaptive_free_288.00s-aligned.csv,0.107682,0.163771,0.138594,1.348403,0.145400,0.043380,0.163810,0.000001,0.000001,14.629000
DOP853_292.00s-aligned.csv,0.083484,0.144561,0.118041,0.942292,0.166500,0.045033,0.144599,0.000001,0.000001,1.426600
GL8_292.00s-aligned.csv,0.071092,0.137853,0.109676,0.800988,0.166500,0.045033,0.137889,0.000001,0.000001,398.899200
bs_adaptive_free_292.00s-aligned.csv,0.144202,0.201321,0.175106,1.924583,0.166500,0.045033,0.201376,0.000001,0.000001,16.775100
DOP853_319.00s-aligned.csv,0.125035,0.187109,0.159128,1.559939,0.387500,0.049768,0.187214,0.000001,0.000001,2.034000
GL8_319.00s-aligned.csv,0.120092,0.173210,0.149036,1.600749,0.387500,0.049768,0.173307,0.000001,0.000001,544.932500
bs_adaptive_free_319.00s-aligned.csv,0.127895,0.183519,0.158171,1.641738,0.387500,0.049768,0.183622,0.000001,0.000001,16.592000
